Unnamed: 0,v_av_central_atom,v_av_nu_atom,sasa_ratio_nu,sasa_ratio_central,epn_central,epn_nu,epn_lg,epn_central_ts,epn_nu_ts,epn_lg_ts,nu_charge,nu_charge_ts,central_charge,central_charge_ts,lg_charge,lg_charge_ts,omega,n,local_electrophilicity_center,local_nucleophilicity_nu,is_av,es_av,p_int_central,p_int_nu,bo_sub_lg,bo_nu_ts,bo_lg_ts,bo_prod_nu,pc_1,pc_2,pc_3,pc_4,pc_5,activation_energy,exp_activation_energy
0,21.9,-13.3,0.2243050475493782,0.0442199403776084,-14.591266,-18.366506,-64.322623,-14.578466,-18.256159,-64.337184,-0.740744,-0.480154,0.14504,0.246443,-0.066588,-0.130646,0.2316505653962508,-6.454604834362292,0.037717625,-0.1500089999999999,7.08,-1.14,27.93928316554178,13.72208282504817,1.121314,0.238905,0.986291,1.382835,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,19.386268879145845,20.22
1,7.8,-13.3,0.2234820775420629,0.0549022855250082,-14.600648,-18.366506,-64.361001,-14.592666,-18.284882,-64.384029,-0.740875,-0.472447,0.281864,0.377601,-0.115045,-0.19719,0.2656794968542253,-6.45460102476832,0.026066625,-0.1500089999999999,7.08,-1.12,26.57228122349976,13.827060927123329,1.05923,0.254449,0.898877,1.334886,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,21.25019165567315,21.8
2,23.5,-13.3,0.2243050475493782,0.0462901623053991,-14.594003,-18.366506,-64.323258,-14.577268,-18.239303,-64.336214,-0.74078,-0.44788,0.156142,0.264525,-0.079835,-0.150359,0.2389119382422915,-6.454595772970673,0.0375131249999999,-0.1500089999999999,7.08,-1.09,27.56429439634981,13.72217479297413,1.118924,0.276516,0.960115,1.363791,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,21.93514647909648,22.93
3,14.6,-13.3,0.2236649597659107,0.0438887048691619,-14.60859,-18.366506,-64.3357,-14.594213,-18.262868,-64.354364,-0.740776,-0.461025,0.134499,0.248434,-0.082881,-0.157723,0.2675069450103078,-6.45459735123216,0.0295838749999999,-0.1500089999999999,7.08,-1.05,27.46759115488785,13.827093114472572,1.11849,0.264781,0.951981,1.369824,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,22.513002384977437,23.08
4,13.2,-13.3,0.2237564008778347,0.0395826432593574,-14.598385,-18.366506,-64.335391,-14.588237,-18.285129,-64.357177,-0.740685,-0.495227,0.07835,0.191788,-0.038485,-0.113576,0.2556989333048053,-6.454595745760348,0.0203853749999999,-0.1500089999999999,7.08,-1.31,28.32053512163633,13.6811428288006,1.129322,0.232348,0.990552,1.37916,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,18.374690991522492,19.9
5,27.6,-13.0,0.2243050475493782,0.0630175554819476,-14.557546,-18.366506,-26.464706,-14.553729,-18.266348,-26.485513,-0.74076,-0.506864,0.325661,0.390229,-0.153765,-0.194383,0.2506793656850658,-6.4546007526550175,0.0442588749999999,-0.1500089999999999,7.08,-1.14,23.33330813479318,13.722182906452652,1.189596,0.224756,1.116746,1.382776,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,16.167441469988766,16.13
6,21.8,-19.5,0.158558888076079,0.0437230871149387,-14.591269,-18.368394,-64.322625,-14.58677,-18.267557,-64.340306,-0.502672,-0.255621,0.14476,0.213782,-0.066502,-0.126697,0.2316608960385761,-6.264859764774908,0.0377165,-0.1004079999999999,6.96,-1.14,27.25998908719161,15.95012504356788,1.121387,0.213571,0.988844,1.318888,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,15.9763315952127,17.27
7,15.0,-19.5,0.1583760058522311,0.0577177873468035,-14.595899,-18.368394,-64.347552,-14.589864,-18.262117,-64.365863,-0.502701,-0.225905,0.340057,0.397409,-0.14031,-0.211017,0.245565217063798,-6.264858077669028,0.036710625,-0.1004079999999999,6.96,-0.99,25.465099489230383,15.993895310729748,1.046311,0.246248,0.885789,1.267858,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,19.228948513926586,18.97
8,7.8,-19.4,0.1583760058522311,0.0551507121563431,-14.600648,-18.368394,-64.361001,-14.600809,-18.289441,-64.388946,-0.502594,-0.240156,0.281861,0.345601,-0.115045,-0.203,0.2656806257913402,-6.264861479091886,0.0260665,-0.100409,6.96,-1.12,26.269712823516844,15.994485923252196,1.059224,0.239662,0.889168,1.258954,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,17.241710722880562,18.46
9,19.9,-13.0,0.2236649597659107,0.0626035110963895,-14.57642,-18.366506,-26.480455,-14.590834,-18.170428,-26.664903,-0.74085,-0.260684,0.314013,0.384488,-0.163085,-0.633695,0.2658528143284857,-6.45459803151735,0.03595275,-0.1500089999999999,7.08,-1.08,23.58367790482487,13.827110500570384,1.184241,0.834994,0.40601,1.369621,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,10.51293162385035,18.68
