Entry,Name,SMILES,Halide,EA,ESP1,ESP2,dG
1,2-bromo-5-nitropyridine,BrC1=CC=C([N+]([O-])=O)C=N1,Br,127.819223510728,98.66010072,200.29841448000002,64.355522190595
2,4-bromo-2-cyanopyridine,BrC1=CC=NC(C#N)=C1,Br,54.41866799999999,98.13659864,141.96638352,70.84263199623919
3,2-bromo-5-cyanopyridine,BrC1=CC=C(C#N)C=N1,Br,52.78128361014872,90.67602456,166.99519704000002,72.2834736083141
4,2-bromo-3-cyanopyridine,BrC1=C(C#N)C=CC=N1,Br,52.4889280008649,88.82837016,150.75232328,73.00731764278073
5,2-bromo-3-(trifluoromethyl)pyridine,BrC1=C(C(F)(F)F)C=CC=N1,Br,6.48392640047851,74.41457384,110.56960568,76.91825678723517
6,2-bromo-5-(trifluoromethyl)pyridine,BrC1=CC=C(C(F)(F)F)C=N1,Br,55.1136676829373,74.38934432,123.51477616000001,76.97223016612527
7,4-bromo-2-chloro-pyridine,ClC1=CC(Br)=CC=N1,Br,-16.40279,68.42630752,48.23520215999999,76.99482658393343
8,1-bromo-4-nitrobenzene,BrC1=CC=C([N+]([O-])=O)C=C1,Br,101.576689250247,72.671896,212.6708372,78.61433947026778
9,"2,5-dibromo-pyridine",BrC1=CC=C(Br)C=N1,Br,-11.356519900242622,57.09934088,68.65563256,81.98314818566848
10,"1-bromo-3,5-bis(trifluoromethyl)benzene",BrC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,Br,17.1592480803788,81.76209623999999,239.30049096000005,85.97785670343012
11,2-bromopyridine,BrC1=CC=CC=N1,Br,-54.032720000000005,35.530193280000006,-11.394914800000002,86.21869849063673
12,2-bromo-5-methypyridine,BrC1=CC=C(C)C=N1,Br,-56.92732999999999,24.36711392,-17.195779759999994,90.2220009793165
13,2-bromo-3-methoxypyridine,BrC1=C(OC)C=CC=N1,Br,-50.07482326077325,34.39741712,-2.058611680000008,92.4118213370626
14,2-bromo-5-methoxypyridine,BrC1=CC=C(OC)C=N1,Br,-53.899567939628874,19.0579108,-8.789621679999996,94.91299301711095
15,"2,4-dichloropyrimidine",ClC1=NC(Cl)=CC=N1,Cl,12.63014830001067,101.17091912000001,17.29632128,61.38059868015303
16,"4,6-dichloropyrimidine",ClC1=CC(Cl)=NC=N1,Cl,4.617867820231727,99.14849904,24.33975056,62.034006045165185
17,2-chloro-5-nitropyridine,ClC1=CC=C([N+]([O-])=O)C=N1,Cl,123.213899,105.29860248,196.45750248000002,64.02920171453906
