Reaction,N,C,SubS,Solvent,H-X-CNu,AverageL2,exp-ee,iminium,solvent,catalyst,nucleophile,
365,-0.429,0.262,0.244,3.021,180,2.58,-0.31,iminium-150-E,toluene,1-naphthyl,hydrogen cyanide,
144,-0.442,0.250,0.242,3.021,180,2.58,0,iminium-149-E,toluene,"3,5-(Ph)2C6H3",hydrogen cyanide,
359,-0.436,0.472,-0.482,3,180,4.71,-0.14,iminium-57-E,benzene,"2,4,6-i PrC6H15","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
371,-0.429,0.262,0.244,3.752,180,2.58,-0.29,iminium-150-E,DCM,9-Phenanthryl,hydrogen cyanide,
372,-0.442,0.462,-0.688,3.021,180,2.58,-0.59,iminium-153-E,toluene,9-Phenanthryl,hydrogen cyanide,
375,-0.440,0.460,-0.688,3.021,180,2.58,-0.8,iminium-156-E,toluene,9-Phenanthryl,hydrogen cyanide,
377,-0.443,0.456,-0.687,3.021,180,2.58,-0.84,iminium-158-E,toluene,9-Phenanthryl,hydrogen cyanide,
223,-0.430,0.457,-0.682,3.752,180,2.58,-0.5,iminium-22-E,DCM,Ph,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
224,-0.430,0.457,-0.682,3.752,180,2.58,-0.56,iminium-22-E,DCM,2-naphthyl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
354,-0.435,0.463,-0.478,3,180,4.71,-0.67,iminium-52-E,benzene,"2,4,6-i PrC6H10","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
227,-0.430,0.457,-0.682,3.752,180,3.61,-0.92,iminium-22-E,DCM,"2,6-MeC6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
327,-0.433,0.476,-0.483,3,114,4.71,-1.68,iminium-45-E,benzene,"2,4,6-i PrC6H2","2-(4-methoxyphenyl)-2,3-dihydro-1,3-benzothiazole",
230,-0.419,0.447,-0.682,3.021,180,4.71,-1.34,iminium-23-E,toluene,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
231,-0.438,0.457,-0.689,3.021,180,4.71,-1.49,iminium-24-E,toluene,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
325,-0.433,0.476,-0.483,3,114,4.71,-1.74,iminium-45-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
233,-0.415,0.446,-0.682,3.021,180,4.71,-1.34,iminium-26-E,toluene,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
239,-0.436,0.504,-0.699,3.021,180,4.71,-1.8,iminium-32-E,toluene,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
149,-0.442,0.25,0.242,2.514,180,2.58,0,iminium-149-E,CH3CN,9-Phenanthryl,hydrogen cyanide,
241,-0.438,0.457,-0.689,3.752,180,2.58,-0.53,iminium-24-E,DCM,9-Phenanthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
243,-0.438,0.457,-0.689,3.752,180,2.58,-0.56,iminium-24-E,DCM,2-naphthyl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
244,-0.438,0.457,-0.689,3.752,180,2.58,-0.69,iminium-24-E,DCM,4-PhC6H4,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
246,-0.438,0.457,-0.689,2.514,180,2.58,-0.19,iminium-24-E,MeCN,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
248,-0.438,0.457,-0.689,5.817,180,2.58,-0.73,iminium-24-E,CHCl3,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
254,-0.433,0.469,-0.685,3,180,2.58,-1.15,iminium-39-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
255,-0.430,0.457,-0.682,3,180,2.58,-1.26,iminium-22-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
256,-0.441,0.471,-0.684,3,180,2.58,-1.2,iminium-40-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
258,-0.433,0.466,-0.692,3,180,2.58,-1.38,iminium-29-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
253,-0.420,0.451,-0.683,3,180,2.58,-1.2,iminium-38-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
263,-0.416,0.478,-0.690,3,180,2.58,-1.53,iminium-44-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
267,-0.430,0.457,-0.682,3,180,2.58,-1.09,iminium-22-E,benzene,"3,5-CF3C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
268,-0.386,0.324,0.953,3.021,114,2.58,-1.86,iminium-13-E,toluene,"3,5-(CF3)2C6H3","2-phenyl-2,3-dihydro-1,3-benzothiazole",
236,-0.433,0.466,-0.692,3.021,180,4.71,-2.03,iminium-29-E,toluene,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
271,-0.386,0.324,0.953,3.021,114,2.58,-2.42,iminium-13-E,toluene,"3,5-(CF3)2C6H3","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
279,-0.415,0.322,0.954,3.752,114,2.58,-2.86,iminium-19-E,DCM,"3,5-(CF3)2C6H3","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
275,-0.388,0.316,0.953,3.752,114,2.58,-2.6,iminium-15-E,DCM,"3,5-(CF3)2C6H3","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
276,-0.376,0.315,0.953,3.752,114,2.58,-2.6,iminium-16-E,DCM,"3,5-(CF3)2C6H3","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
277,-0.395,0.324,0.953,3.752,114,2.58,-2.6,iminium-17-E,DCM,"3,5-(CF3)2C6H3","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
259,-0.435,0.466,-0.683,3,180,2.58,-1.38,iminium-31-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
283,-0.430,0.457,-0.682,3.021,114,2.58,-1.25,iminium-22-E,toluene,4-NO2C6H4,"2-phenyl-2,3-dihydro-1,3-benzothiazole",
284,-0.430,0.457,-0.682,3.021,114,9.12,-0.93,iminium-22-E,toluene,9-Anthryl,"2-phenyl-2,3-dihydro-1,3-benzothiazole",
285,-0.430,0.457,-0.682,3.021,114,2.58,-1.57,iminium-22-E,toluene,"3,5-CF3C6H4","2-phenyl-2,3-dihydro-1,3-benzothiazole",
287,-0.430,0.457,-0.682,3.021,114,4.71,-2.04,iminium-22-E,toluene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
